"target_id","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"DNAJC22",3,14.3260971660579,2.2781209285619e-72,6.4343845046218e-70
"PLOD2",9,42.6303380673963,2.9733674309119e-72,8.26260443019051e-70
"TGM2",5,28.7852250490389,3.68614230984434e-72,1.00807215644933e-69
"LGALS1",6,20.4211472557502,4.13870886790874e-72,1.11415336070625e-69
"ERGIC1",12,33.9189674011618,1.23248277123601e-71,3.26683779471158e-69
"SLIT3",3,14.1783758898162,1.58454780002097e-71,4.13639000705474e-69
"ANKS4B",1,5.79021877529105,1.62411578825321e-71,4.17640162922605e-69
"CXCL5",1,8.06379300455297,7.1666664912638e-71,1.81580142614682e-68
"IGFBP3",8,23.8400906918814,8.476105856101e-69,2.11644677963426e-66
"MYBL1",4,14.8027459289588,1.59590827401724e-68,3.927986236149e-66
"FGA",2,14.4362062981101,1.74843740369667e-68,4.24279268004083e-66
"IGFBP4",1,10.4951253595094,3.72636068021454e-68,8.9168705776967e-66
"TSPAN13",1,7.04022184809271,6.86057280019266e-68,1.61918916129479e-65
"HR",8,31.3215732991322,3.87684043595487e-67,9.02622755014412e-65
"SERPINE2",4,17.3135180690236,5.06488337824853e-67,1.16350500965125e-64
"EFHD2",2,9.9971813346877,7.29687230748342e-67,1.65418174981094e-64
"SH3BGRL2",1,5.72324776468289,2.9799426782423e-65,6.6677184939528e-63
"NPC1",11,32.4848367794137,4.50433003048634e-65,9.94937206349349e-63
"RND1",4,19.7464629925228,9.25101144543201e-65,2.01754020497909e-62
"ANXA13",3,14.676906448857,3.86002643609453e-64,8.31304943343408e-62
"SLC9A3R2",8,34.8908878080862,4.3722144182367e-64,9.29986200145679e-62
"GLS",11,53.8303112281845,1.09431796718192e-63,2.29926881177772e-61
"AKAP2",4,16.1226624823176,8.22245560266419e-63,1.70680346479881e-60
"ANXA8L1",7,32.191316923528,1.54418570188923e-62,3.16723517355352e-60
"PTGES",2,9.98404946269376,1.78679004549008e-62,3.6217183169116e-60
"KCNMA1",10,23.5016657050407,3.06043752594361e-62,6.13119513191656e-60
"PPP1R15A",2,13.7165352716486,4.61383138283809e-62,9.13697711435832e-60
"RAI14",5,21.0873242180088,5.17284777023054e-62,1.0127612981057e-59
"CTSL",5,27.8160355330933,1.65387525709372e-61,3.20164233758065e-59
"ABLIM3",3,9.20595964920714,3.30082369068707e-61,6.31887681853862e-59
"GPX2",5,28.4363047243409,4.77425818563864e-61,9.03908728355693e-59
"SYNE1",14,44.1250550891738,7.31797447035121e-61,1.37044980597479e-58
"ANTXR1",4,21.2464836842248,2.46629061513819e-60,4.56900225894795e-58
"SNX6",5,29.2290917130678,3.75707991539731e-60,6.88624785770003e-58
"HGD",8,25.6952443883341,9.1604955099182e-59,1.66132818042506e-56
"IER3",10,49.8026545850837,3.34274204456908e-58,5.99917736311257e-56
"SEMA4G",7,26.3357165308842,4.10625232124786e-58,7.21904298395709e-56
"CPLX2",8,38.4055678767099,4.10242965318389e-58,7.21904298395709e-56
"PYGL",5,25.4015633633186,3.56696384378059e-57,6.2075979863127e-55
"RP4-555D20.2",1,6.97436708589199,1.49743544735958e-56,2.57993153225581e-54
"COL4A1",1,8.30327923016168,2.25406321922209e-56,3.84507477267102e-54
"KCNH1",2,8.83081726603358,5.18243009852333e-56,8.75373413406456e-54
"ANXA6",2,11.7978563682586,7.2281868906203e-56,1.20907215474269e-53
"HOOK1",2,6.41778536735897,7.58933214053264e-56,1.25727503316574e-53
"LGALS2",1,4.80504852603348,2.59059730775074e-55,4.25080009668929e-53
"MMD",3,13.6025092755909,3.7351269852662e-54,6.07099083293881e-52
"CDH4",1,5.6966704253856,4.09221764247299e-54,6.58923530487543e-52
"PTRF",1,9.21107323492366,4.38337384002949e-54,6.99269887869149e-52
"TXNRD1",18,95.3289371900179,1.6347563278584e-53,2.58396484152958e-51
"COL4A2",2,11.2815236697892,1.37521572839485e-52,2.15396288950135e-50
"SAT1",8,48.4205259431607,2.5450409897554e-52,3.95031632545007e-50
"CFH",4,17.3572813177088,1.82822781486391e-51,2.81236937699021e-49
"MIR503HG",5,18.7477870140202,2.37730849940448e-51,3.62465912710087e-49
"KLF9",1,6.65096508795287,4.71521309896059e-51,7.12617600719228e-49
"SLFN5",3,12.2680189046829,7.78260814593761e-50,1.16597004996834e-47
"SH3KBP1",5,22.2349872083262,2.46892859176585e-49,3.66699747478741e-47
"GATS",7,26.2939284742071,6.07794578022703e-49,8.95016477329328e-47
"VCL",5,24.936233034508,8.81006869688868e-49,1.27963499186796e-46
"ZFP36",3,17.9208930449681,8.83838667550571e-49,1.27963499186796e-46
"SLC16A2",2,9.72695155496406,2.07448625871177e-48,2.97844364594543e-46
"ITIH2",1,2.39594376332739,4.38635685377148e-48,6.24566464740734e-46
"CDH17",2,8.78163573906473,7.00749231148705e-48,9.89607254382053e-46
"TAGLN",6,18.386233942061,8.29802310538333e-48,1.16233040717601e-45
"CYBRD1",3,13.4515158783724,8.79903298792074e-48,1.22256886571683e-45
"EGR1",1,8.43333409698441,8.8837767582586e-48,1.2244687181443e-45
"TIMP2",3,19.1439651212342,8.9946567131353e-48,1.22991222627467e-45
"SLC12A2",6,28.1331106178096,1.8553806444899e-47,2.51703567904854e-45
"GPR176",2,6.61580237946412,9.36572019879827e-47,1.26064057269606e-44
"RPS18",26,104.379884303692,1.99216406742595e-46,2.64023036289859e-44
"HSPD1",10,49.4732169586875,1.99094620598348e-46,2.64023036289859e-44
